;FECHA_CORTE;REGION;PROVINCIA;DISTRITO;UBIGEO;COD_UNIDAD_EJECUTORA;UNIDAD_EJECUTORA;AMBITO_INEI;CODIGO_IPRESS;IPRESS;VRAEM;NACIONAL_EXTRANJERO;PAIS_EXTRANJERO;DOCUMENTO_IDENTIDAD;EDAD;SEXO;REGIMEN_FINANCIAMIENTO;PLAN_DE_SEGURO;COBERTURA_FINANCIERA;TOTAL_AFILIADOS;
1;31/01/2023;LIMA METROPOLITANA;LIMA;COMAS;150110;1683;DIRECCION DE REDES INTEGRADAS DE SALUD LIMA CENTRO;URBANA;6172;JARDIN ROSA DE SANTA MARIA;NO;NACIONAL;;D.N.I.;30;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;1;
2;31/01/2023;ICA;PISCO;SAN CLEMENTE;110507;1195;REGION ICA - HOSPITAL SAN JUAN DE DIOS PISCO;URBANA;3477;CENTRO DE SALUD  SAN CLEMENTE;NO;NACIONAL;;D.N.I.;41;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;52;
3;31/01/2023;APURÍMAC;ANDAHUAYLAS;ANDAHUAYLAS;30201;756;REGION APURIMAC - SALUD CHANKA;URBANA;6804;ANDAHUAYLAS;NO;NACIONAL;;D.N.I.;21;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;153;
4;31/01/2023;CAJAMARCA;CAJAMARCA;CAJAMARCA;60101;1712;GOB. REG. CAJAMARCA - SALUD CAJAMARCA - CAJAMARCA;URBANA;4655;SIMON BOLIVAR;NO;NACIONAL;;D.N.I.;0;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;55;
5;31/01/2023;JUNÍN;SATIPO;PANGOA;120606;1613;GOB. REG. DE JUNIN - RED DE SALUD SAN MARTIN DE PANGOA;RURAL;443;SAN RAMON DE PANGOA;SI;NACIONAL;;D.N.I.;41;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;77;
6;31/01/2023;LAMBAYEQUE;CHICLAYO;LA VICTORIA;140106;860;REGION LAMBAYEQUE - SALUD ;URBANA;4332;PEDRO PABLO ATUSPARIAS;NO;NACIONAL;;D.N.I.;13;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;1;
7;31/01/2023;LA LIBERTAD;PACASMAYO;GUADALUPE;130702;850;REGION LA LIBERTAD - SALUD PACASMAYO;URBANA;5292;HOSPITAL DE APOYO TOMAS LAFORA;NO;NACIONAL;;D.N.I.;4;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;147;
8;31/01/2023;LIMA METROPOLITANA;LIMA;EL AGUSTINO;150111;1686;DIRECCION DE REDES INTEGRADAS DE SALUD LIMA ESTE;URBANA;5919;CATALINA HUANCA;NO;NACIONAL;;D.N.I.;40;FEMENINO;SUBSIDIADO;SIS PARA TODOS;PEAS + PC;22;
9;31/01/2023;CAJAMARCA;JAÉN;BELLAVISTA;60802;788;REGION CAJAMARCA - SALUD JAEN;RURAL;4225;AMBATO TAMBORAPA;NO;NACIONAL;;D.N.I.;71;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;9;
10;31/01/2023;CUSCO;CUSCO;SAN SEBASTIAN;80105;1322;REG. CUSCO - RED DE SERVICIOS DE SALUD CUSCO SUR;URBANA;2301;SAN SEBASTIAN;NO;NACIONAL;;D.N.I.;15;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;201;
11;31/01/2023;PIURA;AYABACA;FRIAS;200202;1026;REGION PIURA - SALUD MORROPON- CHULUCANAS;RURAL;2205;E.S. ARENALES;NO;NACIONAL;;D.N.I.;8;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;48;
12;31/01/2023;SAN MARTÍN;MARISCAL CÁCERES;JUANJUÍ;220601;1059;REGION SAN MARTIN - SALUD HUALLAGA CENTRAL;URBANA;6919;HOSPITAL II-E JUANJUI - MC LUIS IZQUIERDO VÁSQUEZ;NO;NACIONAL;;D.N.I.;79;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;24;
13;31/01/2023;HUANCAVELICA;ANGARAES;ANCHONGA;90302;1647;GOB. REG. HUANCAVELICA - RED DE SALUD ANGARAES;RURAL;3958;ANCHONGA;NO;NACIONAL;;D.N.I.;62;FEMENINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;3;
14;31/01/2023;PUNO;AZÁNGARO;ARAPA;210203;916;REGION PUNO - SALUD AZANGARO;RURAL;2935;ARAPA;NO;NACIONAL;;D.N.I.;4;MASCULINO;SUBSIDIADO;SIS GRATUITO;PEAS + PC;36;
